word,pos_tag,pron
taillight,NN,T EY1 L AY0 T
taillights,NNS,T EY1 L AY0 T Z
headlight,NN,
headlights,NNS,
drive,VB,
drove,VBD,
driving,VBG,
speed,NN,
speeding,VBG,
speeding,JJ,
line,NN,
lines,NNS,
engine,NN,
west,NN,
county,NN,
counties,NNS
asphalt,NN
asphalt,JJ
windshield,NN
tires,NNS
miles,NNS
mile,NN
hour,NN
hours,NNS
border,NN
borders,NNS
borders,VBZ
border,VB
stop,VB
stops,VBZ
wind,NN
dust,NN,
dusty,JJ,
Chevrolets,NNS,
transmission,NN,
burned-out,JJ,B ER1 N D AW0 T
ride,NN,
ride,VB,
rode,VBD,
intersections,NNS,
road,NN,
roads,NNS,
street,NN,
streets,NNS,
skid,NN,
skid,VB,
skids,VBZ,
