word,pos_tag,pron
rose,NN,
roses,NNS,
folded,JJ,
fold,NN,
fold,VB,
folds,VBZ,
folded,VBD,
solitude,NN,
wilted,JJ,
wilts,VBZ,
wilt,VB,
prick,VB,
fence,NN,
fences,NNS,
rapture,NN,
garden,NN,
gardens,NNS,
deter,VB,
deters,VBZ,
deterred,VBD,
blossom,NN,
blossom,VB,
blossomed,VBD,
blossoms,VBZ,
path,NN,
paths,NNS,
damp,JJ,
dampest,JJT,D AE1 M P AH0 S T
dew,NN,
snails,NNS,
snail,NN,
caterpillar,NN,
caterpillars,NNS,
sting,VB,
stings,VBZ,
damper,JJR,
smell,VB,
smells,VBZ,
clay,NN,
root,NN,
roots,NNS,
sunlit,JJ,
twilight,NN,T W AY1 L AY0 T
twilights,NNS,T W AY1 L AY0 T Z
cloudy,JJ,
Eden,NN,
thorn,NN,
thorns,NNS
pricked,VBD
soil,NN
drip,VB
dripped,VBD
dripping,VBG
dripping,JJ
