word,pos_tag,pron
rhythm,NN,
rhythms,NNS,
rhythmic,JJ,
harmony,NN,
harmonies,NNS,
harmonic,JJ,
vibrate,VB,
vibrates,VBZ,
vibration,NN,
vibrations,NNS,
tempo,NN,
chord,NN,
chords,NNS,
silence,NN,
silence,VB,
silences,VBZ,
silenced,VBD,
song,NN,
songs,NNS,
guitar,NN,
guitars,NNS,
hypnotic,JJ,
space,NN,
spaces,NNS,
sonic,JJ,
vibrato,NN,
vibrato,JJ,
backbeat,NN,B AE1 K B IY0 T
snare,VB,
snared,VBD,
snares,VBZ,
music,NN
musics,NNS
string,NN
strings,NNS
rest,NN
bass,NN
beat,NN
