word,pos_tag,pron
decay,NN,
attract,VB,
attracts,VBZ,
repel,VB,
repels,VBZ,
entropy,NN,
entropic,JJ,EH0 N T R OW1 P IH0 K
gravity,NN,
gravitation,NN,
light,NN,
velocity,NN,
observe,VB,
observed,VBD,
decay,VB,
decays,VBZ,
nuclei,NNS,
dilate,VB,
dilated,VBD,
dilates,VBZ,D AY0 L EY1 T Z
orbit,NN,
orbits,NNS,
orbit,VB,
orbited,VBD,
rotate,VB,
rotation,NN,
Newtonian,JJ,
collide,VB,
collides,VBZ,
collision,NN,
collisions,NNS,
attraction,NN,
flux,NN,
fluxes,NNS,F L AH1 K S IH0 Z
radiate,VB,
radiates,VBZ,
light-year,NN,L AY1 T Y IH0 R
light-years,NNS,L AY1 T Y IH0 R Z
distance,NN,
distances,NNS,
force,NN,
forces,NNS,
kinetic,JJ,
rotating,VBG,
colliding,VBG,
rotating,JJ,
colliding,JJ,
symmetry,NN,
equation,NN
equations,NNS
